ResponseId,Progress,Duration,Finished,RecordedDate,Q1_Main_Role,Q2_Heard_Of_Catatonia,Q3_Cared_For_Someone,Q4_What_Include_Text,Q5_Include_What_Is,Q5_Include_Signs,Q5_Include_Warning_Signs,Q5_Include_What_To_Do,Q7_Real_Life_Examples,Q8_Checklist_Helpful,Q9_Language_Type,Q10_Format_Print,Q10_Format_PDF,Q11_Pictures_Help,Q12_Wish_Knew_Earlier,Q13_Biggest_Worry,Q15_Review_Group_Interest,Q1_Other_Role
R_4207140,100,933.2417270851072,TRUE,2025-09-04T23:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,More examples of what to look for,1,1,1,1,Yes,Yes,Both options,1,1,Yes,How serious this condition is,,No,
R_5248728,100,963.5088073882436,TRUE,2025-09-06T17:00:00Z,Person with intellectual disability,No,No,More examples of what to look for,1,1,1,1,Yes,Yes,Easy to understand,1,1,Yes,The warning signs,Long-term effects,Yes,
R_5818147,100,688.0058804248176,TRUE,2025-09-06T21:00:00Z,Parent or caregiver,No,Unsure,More examples of what to look for,1,1,1,1,Yes,Yes,Medical and detailed,1,1,No,How to get help quickly,,Yes,
R_4191935,100,957.2294432381527,TRUE,2025-09-06T20:00:00Z,Other,No,No,,1,1,1,1,Yes,Yes,Both options,1,1,Yes,,Getting proper treatment,Yes,Social worker
R_4061783,100,573.8586612292507,TRUE,2025-09-01T02:00:00Z,Parent or caregiver,Yes,No,Emergency contact information,1,1,1,1,Yes,No,Both options,0,1,Yes,The warning signs,Long-term effects,No,
R_5604259,100,476.9522172256539,TRUE,2025-08-30T18:00:00Z,Parent or caregiver,Yes,Unsure,,1,1,1,0,Yes,Yes,Easy to understand,1,1,Yes,,,No,
R_6828772,100,557.131254358538,TRUE,2025-09-02T21:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,Information for schools,1,1,1,0,Yes,No,Both options,1,1,Yes,,Not recognizing it in time,Yes,
R_8151123,100,923.3592746843648,TRUE,2025-09-06T14:00:00Z,Parent or caregiver,No,No,Information for schools,1,1,1,0,Yes,No,Both options,1,1,Yes,How to get help quickly,Long-term effects,Yes,
R_8218050,100,808.5808461519468,TRUE,2025-09-01T20:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Yes,Emergency contact information,1,1,1,1,No,Yes,Both options,1,1,No,The warning signs,Getting proper treatment,Yes,
R_3683480,100,771.2233183102467,TRUE,2025-09-06T22:00:00Z,Parent or caregiver,Yes,No,More examples of what to look for,1,1,1,1,Yes,Yes,Medical and detailed,1,1,Yes,,Getting proper treatment,No,
R_2737635,100,770.9844008087045,TRUE,2025-09-03T14:00:00Z,Behavioral therapist,No,No,More examples of what to look for,1,1,1,1,Yes,Yes,Medical and detailed,0,1,Yes,How to get help quickly,Getting proper treatment,No,
R_8132676,100,792.2716082833056,TRUE,2025-09-05T23:00:00Z,Parent or caregiver,No,No,Emergency contact information,1,1,1,1,Yes,Yes,Easy to understand,1,1,Yes,How serious this condition is,Not recognizing it in time,Yes,
